Species,North America,South America,Africa,Asia,Europe,Oceania
Mountain Elaenia,2,1,6,6,6,6
Tepui Elaenia,6,6,6,6,6,6
Caribbean Elaenia,3,3,6,6,6,6
Greater Antillean Elaenia,6,6,6,6,6,6
Torrent Tyrannulet,6,1,6,6,6,6
River Tyrannulet,6,3,6,6,6,6
Sooty Tyrannulet,6,1,6,6,6,6
White-crested Tyrannulet,6,1,6,6,6,6
Straneck's Tyrannulet,6,1,6,6,6,6
Greenish Tyrannulet,6,2,6,6,6,6
Reiser's Tyrannulet,6,5,6,6,6,6
Urich's Tyrannulet,6,6,6,6,6,6
Sclater's Tyrannulet,6,2,6,6,6,6
Planalto Tyrannulet,6,1,6,6,6,6
Yungas Tyrannulet,6,6,6,6,6,6
Sooty-headed Tyrannulet,6,1,6,6,6,6
Plumbeous-crowned Tyrannulet,6,3,6,6,6,6
Gray-capped Tyrannulet,6,1,6,6,6,6
White-fronted Tyrannulet,6,5,6,6,6,6
Rough-legged Tyrannulet,6,1,6,6,6,6
Black-capped Tyrannulet,6,1,6,6,6,6
Ashy-headed Tyrannulet,6,2,6,6,6,6
Tawny-rumped Tyrannulet,6,3,6,6,6,6
Red-billed Tyrannulet,6,3,6,6,6,6
Mishana Tyrannulet,6,4,6,6,6,6
Chico's Tyrannulet,6,5,6,6,6,6
Guianan Tyrannulet,6,2,6,6,6,6
Guatemalan Tyrannulet,1,6,6,6,6,6
Mistletoe Tyrannulet,6,6,6,6,6,6
Choco Tyrannulet,6,6,6,6,6,6
Spectacled Tyrannulet,6,2,6,6,6,6
Golden-faced Tyrannulet,6,1,6,6,6,6
Peruvian Tyrannulet,6,2,6,6,6,6
Bolivian Tyrannulet,6,3,6,6,6,6
Venezuelan Tyrannulet,6,6,6,6,6,6
Slender-footed Tyrannulet,6,2,6,6,6,6
Fulvous-faced Scrub-Tyrant,6,2,6,6,6,6
Fulvous-crowned Scrub-Tyrant,6,1,6,6,6,6
Rufous-sided Scrub-Tyrant,6,3,6,6,6,6
Gray-and-white Tyrannulet,6,2,6,6,6,6
Lesser Wagtail-Tyrant,6,3,6,6,6,6
Bahia Wagtail-Tyrant,6,2,6,6,6,6
Greater Wagtail-Tyrant,6,1,6,6,6,6
Slender-billed Tyrannulet,6,2,6,6,6,6
Plain Tyrannulet,6,2,6,6,6,6
Amazonian Tyrannulet,6,3,6,6,6,6
Pale-tipped Tyrannulet,6,2,6,6,6,6
Flavescent Flycatcher,6,2,6,6,6,6
Orange-crested Flycatcher,6,3,6,6,6,6
Unadorned Flycatcher,6,4,6,6,6,6
Roraiman Flycatcher,6,5,6,6,6,6
Olive-chested Flycatcher,6,3,6,6,6,6
Bran-colored Flycatcher,6,1,6,6,6,6
Mouse-gray Flycatcher,6,3,6,6,6,6
Rufescent Flycatcher,6,3,6,6,6,6
Euler's Flycatcher,6,1,6,6,6,6
Gray-breasted Flycatcher,6,5,6,6,6,6
Tawny-chested Flycatcher,6,6,6,6,6,6
Black-billed Flycatcher,6,3,6,6,6,6
Belted Flycatcher,3,6,6,6,6,6
Pileated Flycatcher,3,6,6,6,6,6
Tufted Flycatcher,4,4,6,6,6,6
Olive Flycatcher,6,3,6,6,6,6
Olive-sided Flycatcher,1,2,6,6,6,6
Ochraceous Pewee,6,6,6,6,6,6
Greater Pewee,2,6,6,6,6,6
Dark Pewee,6,6,6,6,6,6
Smoke-colored Pewee,6,1,6,6,6,6
Jamaican Pewee,6,6,6,6,6,6
Tumbes Pewee,6,3,6,6,6,6
White-throated Pewee,6,6,6,6,6,6
Blackish Pewee,6,3,6,6,6,6
Southern Tropical Pewee,6,1,6,6,6,6
Western Wood-Pewee,1,1,6,6,6,6
Northern Tropical Pewee,1,1,6,6,6,6
Eastern Wood-Pewee,1,2,6,6,6,6
Cuban Pewee,4,6,6,6,6,6
Hispaniolan Pewee,6,6,6,6,6,6
Lesser Antillean Pewee,6,6,6,6,6,6
Fuscous Flycatcher,6,1,6,6,6,6
Yellow-bellied Flycatcher,1,5,6,6,6,6
Acadian Flycatcher,1,2,6,6,6,6
Alder Flycatcher,1,2,6,6,6,6
Willow Flycatcher,1,3,6,6,6,6
White-throated Flycatcher,3,6,6,6,6,6
Least Flycatcher,1,5,6,6,6,6
Hammond's Flycatcher,1,6,6,6,6,6
Gray Flycatcher,1,6,6,6,6,6
Dusky Flycatcher,1,6,6,6,6,6
Pine Flycatcher,5,6,6,6,6,6
Western Flycatcher,1,6,6,6,6,6
Yellowish Flycatcher,1,6,6,6,6,6
Buff-breasted Flycatcher,2,6,6,6,6,6
Black-capped Flycatcher,6,6,6,6,6,6
Black Phoebe,1,1,6,6,6,6
Eastern Phoebe,1,6,6,6,6,6
Say's Phoebe,1,6,6,6,6,6
Chapada Flycatcher,6,2,6,6,6,6
Northern Scrub-Flycatcher,6,2,6,6,6,6
Amazonian Scrub-Flycatcher,6,3,6,6,6,6
Southern Scrub-Flycatcher,6,2,6,6,6,6
Vermilion Flycatcher,1,1,6,6,6,6
Brujo Flycatcher,6,6,6,6,6,6
Austral Negrito,6,1,6,6,6,6
Andean Negrito,6,1,6,6,6,6
Riverside Tyrant,6,3,6,6,6,6
Rufous-tailed Tyrant,6,2,6,6,6,6
Amazonian Black-Tyrant,6,3,6,6,6,6
Caatinga Black-Tyrant,6,4,6,6,6,6
Crested Black-Tyrant,6,2,6,6,6,6
Velvety Black-Tyrant,6,1,6,6,6,6
Jelski's Black-Tyrant,6,5,6,6,6,6
Plumbeous Black-Tyrant,6,3,6,6,6,6
Blue-billed Black-Tyrant,6,2,6,6,6,6
Cinereous Tyrant,6,2,6,6,6,6
White-winged Black-Tyrant,6,1,6,6,6,6
Hudson's Black-Tyrant,6,4,6,6,6,6
Spectacled Tyrant,6,1,6,6,6,6
Drab Water Tyrant,6,1,6,6,6,6
Yellow-browed Tyrant,6,1,6,6,6,6
Little Ground-Tyrant,6,3,6,6,6,6
Spot-billed Ground-Tyrant,6,1,6,6,6,6
Taczanowski's Ground-Tyrant,6,2,6,6,6,6
Puna Ground-Tyrant,6,2,6,6,6,6
Cinereous Ground-Tyrant,6,2,6,6,6,6
White-fronted Ground-Tyrant,6,2,6,6,6,6
Ochre-naped Ground-Tyrant,6,2,6,6,6,6
Rufous-naped Ground-Tyrant,6,1,6,6,6,6
Dark-faced Ground-Tyrant,6,1,6,6,6,6
White-browed Ground-Tyrant,6,2,6,6,6,6
Plain-capped Ground-Tyrant,6,3,6,6,6,6
Cinnamon-bellied Ground-Tyrant,6,2,6,6,6,6
Black-fronted Ground-Tyrant,6,3,6,6,6,6
Red-rumped Bush-Tyrant,6,3,6,6,6,6
Rufous-webbed Bush-Tyrant,6,2,6,6,6,6
Fire-eyed Diucon,6,1,6,6,6,6
White-rumped Monjita,6,1,6,6,6,6
White Monjita,6,1,6,6,6,6
Gray Monjita,6,1,6,6,6,6
Black-crowned Monjita,6,2,6,6,6,6
Salinas Monjita,6,4,6,6,6,6
Rusty-backed Monjita,6,3,6,6,6,6
Chocolate-vented Tyrant,6,2,6,6,6,6
Black-billed Shrike-Tyrant,6,1,6,6,6,6
White-tailed Shrike-Tyrant,6,3,6,6,6,6
Great Shrike-Tyrant,6,1,6,6,6,6
Gray-bellied Shrike-Tyrant,6,1,6,6,6,6
Lesser Shrike-Tyrant,6,2,6,6,6,6
Streak-throated Bush-Tyrant,6,1,6,6,6,6
Santa Marta Bush-Tyrant,6,3,6,6,6,6
Smoky Bush-Tyrant,6,2,6,6,6,6
Rufous-bellied Bush-Tyrant,6,3,6,6,6,6
White-headed Marsh Tyrant,6,1,6,6,6,6
Pied Water-Tyrant,6,1,6,6,6,6
Black-backed Water-Tyrant,6,1,6,6,6,6
Masked Water-Tyrant,6,1,6,6,6,6
Shear-tailed Gray Tyrant,6,2,6,6,6,6
Streamer-tailed Tyrant,6,1,6,6,6,6
Black-and-white Monjita,6,3,6,6,6,6
Cock-tailed Tyrant,6,3,6,6,6,6
Strange-tailed Tyrant,6,2,6,6,6,6
Crowned Chat-Tyrant,6,2,6,6,6,6
Jelski's Chat-Tyrant,6,4,6,6,6,6
Golden-browed Chat-Tyrant,6,5,6,6,6,6
Yellow-bellied Chat-Tyrant,6,1,6,6,6,6
Patagonian Tyrant,6,1,6,6,6,6
Tumbes Chat-Tyrant,6,3,6,6,6,6
Chestnut-bellied Chat-Tyrant,6,1,6,6,6,6
Blackish Chat-Tyrant,6,6,6,6,6,6
Maroon-belted Chat-Tyrant,6,3,6,6,6,6
Rufous-breasted Chat-Tyrant,6,1,6,6,6,6
Brown-backed Chat-Tyrant,6,1,6,6,6,6
Rufous-browed Chat-Tyrant,6,6,6,6,6,6
d'Orbigny's Chat-Tyrant,6,1,6,6,6,6
Piura Chat-Tyrant,6,4,6,6,6,6
White-browed Chat-Tyrant,6,1,6,6,6,6
Long-tailed Tyrant,6,1,6,6,6,6
Short-tailed Field Tyrant,6,2,6,6,6,6
Large-headed Flatbill,6,2,6,6,6,6
Rufous-tailed Flatbill,6,2,6,6,6,6
Flammulated Flycatcher,2,6,6,6,6,6
Dusky-tailed Flatbill,6,3,6,6,6,6
Rufous-tailed Attila,6,2,6,6,6,6
Cinnamon Attila,6,1,6,6,6,6
Ochraceous Attila,6,5,6,6,6,6
Citron-bellied Attila,6,2,6,6,6,6
Dull-capped Attila,6,1,6,6,6,6
Gray-hooded Attila,6,1,6,6,6,6
Bright-rumped Attila,1,1,6,6,6,6
Choco Sirystes,6,6,6,6,6,6
White-rumped Sirystes,6,3,6,6,6,6
Todd's Sirystes,6,3,6,6,6,6
Sibilant Sirystes,6,1,6,6,6,6
Rufous Casiornis,6,1,6,6,6,6
Ash-throated Casiornis,6,3,6,6,6,6
Rufous Mourner,3,3,6,6,6,6
Grayish Mourner,6,1,6,6,6,6
Pale-bellied Mourner,6,4,6,6,6,6
Rufous Flycatcher,6,3,6,6,6,6
Yucatan Flycatcher,2,6,6,6,6,6
Sad Flycatcher,6,6,6,6,6,6
Dusky-capped Flycatcher,2,1,6,6,6,6
Swainson's Flycatcher,6,1,6,6,6,6
Venezuelan Flycatcher,6,3,6,6,6,6
Panama Flycatcher,6,1,6,6,6,6
Short-crested Flycatcher,6,1,6,6,6,6
Apical Flycatcher,6,1,6,6,6,6
Sooty-crowned Flycatcher,6,3,6,6,6,6
Pale-edged Flycatcher,6,1,6,6,6,6
Ash-throated Flycatcher,1,6,6,6,6,6
Nutting's Flycatcher,4,6,6,6,6,6
Great Crested Flycatcher,1,2,6,6,6,6
Brown-crested Flycatcher,1,1,6,6,6,6
Galapagos Flycatcher,6,6,6,6,6,6
Grenada Flycatcher,6,6,6,6,6,6
Rufous-tailed Flycatcher,6,6,6,6,6,6
La Sagra's Flycatcher,3,6,6,6,6,6
Stolid Flycatcher,6,6,6,6,6,6
Puerto Rican Flycatcher,6,6,6,6,6,6
Lesser Antillean Flycatcher,6,6,6,6,6,6
Cattle Tyrant,6,1,6,6,6,6
Lesser Kiskadee,6,1,6,6,6,6
Great Kiskadee,2,1,6,6,6,6
Boat-billed Flycatcher,1,1,6,6,6,6
Rusty-margined Flycatcher,6,1,6,6,6,6
Social Flycatcher,5,1,6,6,6,6
Gray-capped Flycatcher,6,1,6,6,6,6
Dusky-chested Flycatcher,6,2,6,6,6,6
White-bearded Flycatcher,6,3,6,6,6,6
White-ringed Flycatcher,6,3,6,6,6,6
Yellow-throated Flycatcher,6,2,6,6,6,6
Three-striped Flycatcher,6,2,6,6,6,6
Lemon-browed Flycatcher,6,2,6,6,6,6
Golden-bellied Flycatcher,6,1,6,6,6,6
Golden-crowned Flycatcher,6,1,6,6,6,6
Baird's Flycatcher,6,2,6,6,6,6
Streaked Flycatcher,3,1,6,6,6,6
Sulphur-bellied Flycatcher,2,2,6,6,6,6
Piratic Flycatcher,4,1,6,6,6,6
Variegated Flycatcher,4,1,6,6,6,6
Crowned Slaty Flycatcher,5,1,6,6,6,6
Sulphury Flycatcher,6,2,6,6,6,6
Snowy-throated Kingbird,6,4,6,6,6,6
White-throated Kingbird,6,1,6,6,6,6
Tropical Kingbird,2,1,6,6,6,6
Couch's Kingbird,2,6,6,6,6,6
Cassin's Kingbird,1,6,6,6,6,6
Thick-billed Kingbird,2,6,6,6,6,6
Western Kingbird,1,6,6,6,6,6
Eastern Kingbird,1,2,6,6,6,6
Gray Kingbird,2,2,6,6,6,6
Loggerhead Kingbird,5,6,6,6,6,6
Giant Kingbird,3,6,6,6,6,6
Scissor-tailed Flycatcher,1,6,6,6,6,6
Fork-tailed Flycatcher,3,1,6,6,6,6
Albert's Lyrebird,6,6,6,6,6,2
Superb Lyrebird,6,6,6,6,6,1
Rufous Scrub-bird,6,6,6,6,6,3
Noisy Scrub-bird,6,6,6,6,6,3
White-eared Catbird,6,6,6,5,6,6
Ochre-breasted Catbird,6,6,6,6,6,4
Tan-capped Catbird,6,6,6,6,6,6
Spotted Catbird,6,6,6,6,6,1
Huon Catbird,6,6,6,6,6,6
Black-capped Catbird,6,6,6,6,6,5
Northern Catbird,6,6,6,6,6,6
Arfak Catbird,6,6,6,4,6,6
Black-eared Catbird,6,6,6,6,6,3
Green Catbird,6,6,6,6,6,1
Tooth-billed Bowerbird,6,6,6,6,6,2
Archbold's Bowerbird,6,6,6,6,6,6
Vogelkop Bowerbird,6,6,6,3,6,6
MacGregor's Bowerbird,6,6,6,6,6,3
Streaked Bowerbird,6,6,6,6,6,6
Golden-fronted Bowerbird,6,6,6,6,6,6
Golden Bowerbird,6,6,6,6,6,2
Masked Bowerbird,6,6,6,4,6,5
Flame Bowerbird,6,6,6,6,6,6
Fire-maned Bowerbird,6,6,6,6,6,6
Regent Bowerbird,6,6,6,6,6,1
Satin Bowerbird,6,6,6,6,6,1
Western Bowerbird,6,6,6,6,6,2
Spotted Bowerbird,6,6,6,6,6,2
Great Bowerbird,6,6,6,6,6,1
Yellow-breasted Bowerbird,6,6,6,6,6,5
Fawn-breasted Bowerbird,6,6,6,4,6,3
Papuan Treecreeper,6,6,6,4,6,5
White-throated Treecreeper,6,6,6,6,6,1
White-browed Treecreeper,6,6,6,6,6,2
Red-browed Treecreeper,6,6,6,6,6,1
Brown Treecreeper,6,6,6,6,6,1
Black-tailed Treecreeper,6,6,6,6,6,2
Rufous Treecreeper,6,6,6,6,6,2
Gray Grasswren,6,6,6,6,6,5
Pilbara Grasswren,6,6,6,6,6,4
Sandhill Grasswren,6,6,6,6,6,5
Opalton Grasswren,6,6,6,6,6,4
Striated Grasswren,6,6,6,6,6,2
White-throated Grasswren,6,6,6,6,6,6
Carpentarian Grasswren,6,6,6,6,6,4
Short-tailed Grasswren,6,6,6,6,6,3
Western Grasswren,6,6,6,6,6,3
Thick-billed Grasswren,6,6,6,6,6,4
Black Grasswren,6,6,6,6,6,4
Eyrean Grasswren,6,6,6,6,6,3
Dusky Grasswren,6,6,6,6,6,3
Kalkadoon Grasswren,6,6,6,6,6,4
Southern Emuwren,6,6,6,6,6,1
Rufous-crowned Emuwren,6,6,6,6,6,3
Mallee Emuwren,6,6,6,6,6,3
Wallace's Fairywren,6,6,6,5,6,5
Orange-crowned Fairywren,6,6,6,5,6,5
Broad-billed Fairywren,6,6,6,6,6,6
Campbell's Fairywren,6,6,6,6,6,5
Emperor Fairywren,6,6,6,3,6,5
Purple-crowned Fairywren,6,6,6,6,6,3
Red-winged Fairywren,6,6,6,6,6,1
Blue-breasted Fairywren,6,6,6,6,6,2
Purple-backed Fairywren,6,6,6,6,6,1
Variegated Fairywren,6,6,6,6,6,1
Lovely Fairywren,6,6,6,6,6,2
Splendid Fairywren,6,6,6,6,6,1
Superb Fairywren,6,6,6,6,6,1
White-winged Fairywren,6,6,6,6,6,1
Red-backed Fairywren,6,6,6,6,6,1
White-shouldered Fairywren,6,6,6,3,6,4
Dark-eared Myza,6,6,6,4,6,6
White-eared Myza,6,6,6,5,6,6
Eastern Spinebill,6,6,6,6,6,1
Western Spinebill,6,6,6,6,6,1
Pied Honeyeater,6,6,6,6,6,2
Plain Honeyeater,6,6,6,5,6,5
Marbled Honeyeater,6,6,6,5,6,4
Streak-headed Honeyeater,6,6,6,4,6,3
Tui,6,6,6,6,6,1
New Zealand Bellbird,6,6,6,6,6,1
Chatham Islands Bellbird,6,6,6,6,6,6
Puff-backed Honeyeater,6,6,6,3,6,4
Yellow-spotted Honeyeater,6,6,6,6,6,1
Lewin's Honeyeater,6,6,6,6,6,1
Streak-breasted Honeyeater,6,6,6,2,6,6
Kimberley Honeyeater,6,6,6,6,6,3
White-lined Honeyeater,6,6,6,6,6,3
Orange-cheeked Honeyeater,6,6,6,6,6,6
Forest Honeyeater,6,6,6,6,6,6
Mottled Honeyeater,6,6,6,6,6,6
Yellow-gaped Honeyeater,6,6,6,5,6,5
Mountain Honeyeater,6,6,6,4,6,6
Scrub Honeyeater,6,6,6,5,6,5
Mimic Honeyeater,6,6,6,3,6,3
Tagula Honeyeater,6,6,6,6,6,6
Graceful Honeyeater,6,6,6,5,6,3
Cryptic Honeyeater,6,6,6,6,6,1
Elegant Honeyeater,6,6,6,6,6,3
Yellow Honeyeater,6,6,6,6,6,1
White-gaped Honeyeater,6,6,6,6,6,1
White-fronted Honeyeater,6,6,6,6,6,1
Yellow-faced Honeyeater,6,6,6,6,6,1
Black-throated Honeyeater,6,6,6,6,6,3
Obscure Honeyeater,6,6,6,6,6,5
Yellow-tufted Honeyeater,6,6,6,6,6,1
Purple-gaped Honeyeater,6,6,6,6,6,2
Bell Miner,6,6,6,6,6,1
Noisy Miner,6,6,6,6,6,1
Yellow-throated Miner,6,6,6,6,6,1
Black-eared Miner,6,6,6,6,6,4
Sooty Honeyeater,6,6,6,6,6,6
Short-bearded Honeyeater,6,6,6,6,6,6
Long-bearded Honeyeater,6,6,6,6,6,6
Ornate Melidectes,6,6,6,4,6,3
Cinnamon-browed Melidectes,6,6,6,4,6,6
Vogelkop Melidectes,6,6,6,3,6,6
Huon Melidectes,6,6,6,6,6,6
Belford's Melidectes,6,6,6,5,6,3
Yellow-browed Melidectes,6,6,6,6,6,3
Bridled Honeyeater,6,6,6,6,6,1
Eungella Honeyeater,6,6,6,6,6,3
Spiny-cheeked Honeyeater,6,6,6,6,6,1
Little Wattlebird,6,6,6,6,6,1
Western Wattlebird,6,6,6,6,6,1
Regent Honeyeater,6,6,6,6,6,3
Red Wattlebird,6,6,6,6,6,1
Yellow Wattlebird,6,6,6,6,6,1
Varied Honeyeater,6,6,6,4,6,1
Mangrove Honeyeater,6,6,6,6,6,1
Singing Honeyeater,6,6,6,6,6,1
Yellow-plumed Honeyeater,6,6,6,6,6,1
White-plumed Honeyeater,6,6,6,6,6,1
Yellow-tinted Honeyeater,6,6,6,6,6,2
Fuscous Honeyeater,6,6,6,6,6,1
Gray-headed Honeyeater,6,6,6,6,6,2
Gray-fronted Honeyeater,6,6,6,6,6,2
Bougainville Honeyeater,6,6,6,6,6,5
Brown-backed Honeyeater,6,6,6,3,6,1
Bar-breasted Honeyeater,6,6,6,6,6,2
Rufous-banded Honeyeater,6,6,6,6,6,1
Rufous-throated Honeyeater,6,6,6,6,6,1
Gray Honeyeater,6,6,6,6,6,4
Gibberbird,6,6,6,6,6,3
Yellow Chat,6,6,6,6,6,3
Crimson Chat,6,6,6,6,6,2
Orange Chat,6,6,6,6,6,2
White-fronted Chat,6,6,6,6,6,1
Arfak Honeyeater,6,6,6,3,6,6
Smoky Honeyeater,6,6,6,5,6,3
Foja Honeyeater,6,6,6,6,6,6
Spangled Honeyeater,6,6,6,6,6,5
Macgregor's Honeyeater,6,6,6,6,6,6
Long-billed Honeyeater,6,6,6,4,6,4
Olive Straightbill,6,6,6,6,6,6
Tawny Straightbill,6,6,6,5,6,6
Black Honeyeater,6,6,6,6,6,2
Bismarck Honeyeater,6,6,6,6,6,6
Seram Myzomela,6,6,6,4,6,6
White-chinned Myzomela,6,6,6,6,6,5
Ruby-throated Myzomela,6,6,6,4,6,6
Ashy Myzomela,6,6,6,6,6,5
Moluccan Myzomela,6,6,6,5,6,6
Red-tinged Myzomela,6,6,6,5,6,6
Biak Myzomela,6,6,6,6,6,6
Dusky Myzomela,6,6,6,5,6,1
Red Myzomela,6,6,6,5,6,5
Reddish Myzomela,6,6,6,6,6,5
Papuan Black Myzomela,6,6,6,4,6,4
New Ireland Myzomela,6,6,6,6,6,6
Alor Myzomela,6,6,6,5,6,6
Crimson-hooded Myzomela,6,6,6,6,6,6
Red-headed Myzomela,6,6,6,5,6,2
Sumba Myzomela,6,6,6,5,6,6
Rote Myzomela,6,6,6,3,6,6
Elfin Myzomela,6,6,6,5,6,3
Sulawesi Myzomela,6,6,6,3,6,6
Bacan Myzomela,6,6,6,5,6,6
Taliabu Myzomela,6,6,6,5,6,6
Wakolo Myzomela,6,6,6,4,6,6
Banda Myzomela,6,6,6,4,6,6
New Caledonian Myzomela,6,6,6,6,6,3
Scarlet Myzomela,6,6,6,6,6,1
Micronesian Myzomela,6,6,6,6,6,6
Cardinal Myzomela,6,6,6,6,6,5
Samoan Myzomela,6,6,6,6,6,6
Rotuma Myzomela,6,6,6,6,6,5
Sclater's Myzomela,6,6,6,6,6,5
Bismarck Black Myzomela,6,6,6,6,6,4
Scarlet-naped Myzomela,6,6,6,6,6,5
Yellow-vented Myzomela,6,6,6,6,6,6
Red-bellied Myzomela,6,6,6,6,6,6
Black-headed Myzomela,6,6,6,6,6,6
Sooty Myzomela,6,6,6,6,6,6
Sulphur-breasted Myzomela,6,6,6,6,6,2
Black-bellied Myzomela,6,6,6,6,6,5
Black-breasted Myzomela,6,6,6,3,6,6
Red-collared Myzomela,6,6,6,4,6,3
Long-billed Myzomela,6,6,6,6,6,6
Barred Honeyeater,6,6,6,6,6,4
Tawny-crowned Honeyeater,6,6,6,6,6,1
Vanuatu Honeyeater,6,6,6,6,6,6
Green-backed Honeyeater,6,6,6,4,6,3
Leaden Honeyeater,6,6,6,6,6,6
Yellow-streaked Honeyeater,6,6,6,6,6,6
Rufous-sided Honeyeater,6,6,6,4,6,6
Mayr's Honeyeater,6,6,6,6,6,6
Rufous-backed Honeyeater,6,6,6,6,6,3
Gray-streaked Honeyeater,6,6,6,6,6,3
Banded Honeyeater,6,6,6,6,6,2
Sunda Honeyeater,6,6,6,5,6,6
Olive Honeyeater,6,6,6,4,6,6
Brown Honeyeater,6,6,6,2,6,1
Dark-brown Honeyeater,6,6,6,6,6,3
White-tufted Honeyeater,6,6,6,4,6,6
Silver-eared Honeyeater,6,6,6,6,6,4
Buru Honeyeater,6,6,6,6,6,6
Seram Honeyeater,6,6,6,4,6,6
Yellow-eared Honeyeater,6,6,6,3,6,6
Black-chested Honeyeater,6,6,6,6,6,6
Crescent Honeyeater,6,6,6,6,6,1
New Holland Honeyeater,6,6,6,6,6,1
White-cheeked Honeyeater,6,6,6,6,6,1
White-streaked Honeyeater,6,6,6,6,6,3
White-eared Honeyeater,6,6,6,6,6,1
Yellow-throated Honeyeater,6,6,6,6,6,1
Blue-faced Honeyeater,6,6,6,6,6,1
White-throated Honeyeater,6,6,6,6,6,1
Gilbert's Honeyeater,6,6,6,6,6,1
White-naped Honeyeater,6,6,6,6,6,1
Black-headed Honeyeater,6,6,6,6,6,1
Brown-headed Honeyeater,6,6,6,6,6,1
Black-chinned Honeyeater,6,6,6,6,6,1
Strong-billed Honeyeater,6,6,6,6,6,2
Makira Honeyeater,6,6,6,6,6,6
Guadalcanal Honeyeater,6,6,6,6,6,6
Kadavu Honeyeater,6,6,6,6,6,3
Yellow-billed Giant-Honeyeater,6,6,6,6,6,4
Duetting Giant-Honeyeater,6,6,6,6,6,3
Mao,6,6,6,6,6,6
Crow Honeyeater,6,6,6,6,6,5
Western Wattled-Honeyeater,6,6,6,6,6,2
Eastern Wattled-Honeyeater,6,6,6,6,6,5
Northern Wattled-Honeyeater,6,6,6,6,6,3
Tawny-breasted Honeyeater,6,6,6,3,6,2
Spotted Honeyeater,6,6,6,4,6,5
Macleay's Honeyeater,6,6,6,6,6,1
Striped Honeyeater,6,6,6,6,6,1
Painted Honeyeater,6,6,6,6,6,2
White-streaked Friarbird,6,6,6,3,6,6
Little Friarbird,6,6,6,6,6,1
Meyer's Friarbird,6,6,6,4,6,5
Timor Friarbird,6,6,6,3,6,6
Gray Friarbird,6,6,6,6,6,6
Brass's Friarbird,6,6,6,6,6,6
Morotai Friarbird,6,6,6,5,6,6
Buru Friarbird,6,6,6,3,6,6
Tanimbar Friarbird,6,6,6,4,6,6
Seram Friarbird,6,6,6,4,6,6
New Ireland Friarbird,6,6,6,6,6,6
Helmeted Friarbird,6,6,6,2,6,1
White-naped Friarbird,6,6,6,6,6,5
New Britain Friarbird,6,6,6,6,6,4
Silver-crowned Friarbird,6,6,6,6,6,1
Noisy Friarbird,6,6,6,6,6,1
New Caledonian Friarbird,6,6,6,6,6,3
Western Bristlebird,6,6,6,6,6,3
Eastern Bristlebird,6,6,6,6,6,2
Rufous Bristlebird,6,6,6,6,6,2
Spotted Pardalote,6,6,6,6,6,1
Forty-spotted Pardalote,6,6,6,6,6,2
Red-browed Pardalote,6,6,6,6,6,2
Striated Pardalote,6,6,6,6,6,1
Goldenface,6,6,6,3,6,4
Fernwren,6,6,6,6,6,3
Pilotbird,6,6,6,6,6,2
Redthroat,6,6,6,6,6,2
Speckled Warbler,6,6,6,6,6,1
Shy Heathwren,6,6,6,6,6,2
Chestnut-rumped Heathwren,6,6,6,6,6,2
Striated Fieldwren,6,6,6,6,6,1
Rufous Fieldwren,6,6,6,6,6,2
Western Fieldwren,6,6,6,6,6,3
Weebill,6,6,6,6,6,1
Yellow-throated Scrubwren,6,6,6,6,6,1
Mountain Mouse-Warbler,6,6,6,4,6,3
Rusty Mouse-Warbler,6,6,6,3,6,3
Rockwarbler,6,6,6,6,6,2
Tasmanian Scrubwren,6,6,6,6,6,1
White-browed Scrubwren,6,6,6,6,6,1
Spotted Scrubwren,6,6,6,6,6,1
Atherton Scrubwren,6,6,6,6,6,2
Tropical Scrubwren,6,6,6,5,6,3
Large-billed Scrubwren,6,6,6,6,6,1
Large Scrubwren,6,6,6,4,6,3
Pale-billed Scrubwren,6,6,6,4,6,4
Bicolored Mouse-Warbler,6,6,6,6,6,6
Vogelkop Scrubwren,6,6,6,3,6,6
Buff-faced Scrubwren,6,6,6,5,6,4
Gray-green Scrubwren,6,6,6,4,6,6
Papuan Scrubwren,6,6,6,6,6,4
Scrubtit,6,6,6,6,6,2
Southern Whiteface,6,6,6,6,6,1
Banded Whiteface,6,6,6,6,6,3
Chestnut-breasted Whiteface,6,6,6,6,6,3
Yellow-rumped Thornbill,6,6,6,6,6,1
Gray Thornbill,6,6,6,4,6,5
Papuan Thornbill,6,6,6,6,6,6
Yellow Thornbill,6,6,6,6,6,1
Striated Thornbill,6,6,6,6,6,1
Inland Thornbill,6,6,6,6,6,1
Tasmanian Thornbill,6,6,6,6,6,1
Mountain Thornbill,6,6,6,6,6,2
Brown Thornbill,6,6,6,6,6,1
Slaty-backed Thornbill,6,6,6,6,6,3
Slender-billed Thornbill,6,6,6,6,6,3
Chestnut-rumped Thornbill,6,6,6,6,6,1
Western Thornbill,6,6,6,6,6,2
Buff-rumped Thornbill,6,6,6,6,6,1
Yellow-bellied Gerygone,6,6,6,3,6,3
Brown Gerygone,6,6,6,6,6,1
Green-backed Gerygone,6,6,6,3,6,2
Fairy Gerygone,6,6,6,4,6,1
Large-billed Gerygone,6,6,6,4,6,1
Biak Gerygone,6,6,6,5,6,6
Plain Gerygone,6,6,6,3,6,6
Rufous-sided Gerygone,6,6,6,4,6,6
White-throated Gerygone,6,6,6,6,6,1
Golden-bellied Gerygone,6,6,6,1,6,6
Dusky Gerygone,6,6,6,6,6,2
Fan-tailed Gerygone,6,6,6,6,6,3
