Species,North America,South America,Africa,Asia,Europe,Oceania
Rufous-headed Chachalaca,6,4,6,6,6,6
Rufous-bellied Chachalaca,1,6,6,6,6,6
West Mexican Chachalaca,1,6,6,6,6,6
Chaco Chachalaca,6,1,6,6,6,6
White-bellied Chachalaca,2,6,6,6,6,6
Colombian Chachalaca,6,1,6,6,6,6
Speckled Chachalaca,6,1,6,6,6,6
East Brazilian Chachalaca,6,2,6,6,6,6
Scaled Chachalaca,6,1,6,6,6,6
Variable Chachalaca,6,3,6,6,6,6
Chestnut-headed Chachalaca,6,4,6,6,6,6
Buff-browed Chachalaca,6,3,6,6,6,6
Band-tailed Guan,6,1,6,6,6,6
Bearded Guan,6,4,6,6,6,6
Baudo Guan,6,3,6,6,6,6
Andean Guan,6,1,6,6,6,6
Marail Guan,6,4,6,6,6,6
Rusty-margined Guan,6,1,6,6,6,6
Red-faced Guan,6,3,6,6,6,6
Spix's Guan,6,1,6,6,6,6
Crested Guan,1,2,6,6,6,6
Cauca Guan,6,1,6,6,6,6
White-winged Guan,6,3,6,6,6,6
Dusky-legged Guan,6,1,6,6,6,6
Yungas Guan,6,1,6,6,6,6
White-crested Guan,6,3,6,6,6,6
Chestnut-bellied Guan,6,2,6,6,6,6
White-browed Guan,6,3,6,6,6,6
Trinidad Piping-Guan,6,6,6,6,6,6
Blue-throated Piping-Guan,6,1,6,6,6,6
White-throated Piping-Guan,6,2,6,6,6,6
Red-throated Piping-Guan,6,2,6,6,6,6
Black-fronted Piping-Guan,6,2,6,6,6,6
Wattled Guan,6,2,6,6,6,6
Black Guan,6,6,6,6,6,6
Sickle-winged Guan,6,1,6,6,6,6
Highland Guan,1,6,6,6,6,6
Horned Guan,2,6,6,6,6,6
Nocturnal Curassow,6,4,6,6,6,6
Crestless Curassow,6,2,6,6,6,6
Salvin's Curassow,6,5,6,6,6,6
Razor-billed Curassow,6,2,6,6,6,6
Alagoas Curassow,6,6,6,6,6,6
Helmeted Curassow,6,5,6,6,6,6
Sira Curassow,6,6,6,6,6,6
Horned Curassow,6,6,6,6,6,6
Great Curassow,3,4,6,6,6,6
Blue-billed Curassow,6,3,6,6,6,6
Yellow-knobbed Curassow,6,6,6,6,6,6
Black Curassow,6,3,6,6,6,6
Wattled Curassow,6,3,6,6,6,6
Bare-faced Curassow,6,1,6,6,6,6
Red-billed Curassow,6,3,6,6,6,6
Helmeted Guineafowl,2,3,1,5,5,1
White-breasted Guineafowl,6,6,6,6,6,6
Black Guineafowl,6,6,6,6,6,6
Vulturine Guineafowl,6,6,1,6,6,6
Plumed Guineafowl,6,6,6,6,6,6
Eastern Crested Guineafowl,6,6,3,6,6,6
Western Crested Guineafowl,6,6,6,6,6,6
Southern Crested Guineafowl,6,6,2,6,6,6
Stone Partridge,6,6,3,6,6,6
Nahan's Partridge,6,6,6,6,6,6
Tawny-faced Quail,6,5,6,6,6,6
Mountain Quail,1,6,6,6,6,6
Buffy-crowned Wood-Partridge,2,6,6,6,6,6
Long-tailed Wood-Partridge,2,6,6,6,6,6
Bearded Wood-Partridge,4,6,6,6,6,6
Banded Quail,3,6,6,6,6,6
Northern Bobwhite,1,6,6,6,5,6
Black-throated Bobwhite,1,6,6,6,6,6
Spot-bellied Bobwhite,4,6,6,6,6,6
Crested Bobwhite,6,1,6,6,6,6
Scaled Quail,1,6,6,6,6,6
Elegant Quail,2,6,6,6,6,6
California Quail,1,1,6,6,5,1
Gambel's Quail,1,6,6,6,6,6
Montezuma Quail,2,6,6,6,6,6
Ocellated Quail,3,6,6,6,6,6
Singing Quail,2,6,6,6,6,6
Marbled Wood-Quail,6,2,6,6,6,6
Spot-winged Wood-Quail,6,1,6,6,6,6
Black-eared Wood-Quail,6,6,6,6,6,6
Black-fronted Wood-Quail,6,2,6,6,6,6
Rufous-fronted Wood-Quail,6,3,6,6,6,6
Chestnut Wood-Quail,6,1,6,6,6,6
Dark-backed Wood-Quail,6,4,6,6,6,6
Rufous-breasted Wood-Quail,6,3,6,6,6,6
Tacarcuna Wood-Quail,6,6,6,6,6,6
Gorgeted Wood-Quail,6,5,6,6,6,6
Venezuelan Wood-Quail,6,6,6,6,6,6
Black-breasted Wood-Quail,6,6,6,6,6,6
Stripe-faced Wood-Quail,6,3,6,6,6,6
Starred Wood-Quail,6,2,6,6,6,6
Spotted Wood-Quail,3,6,6,6,6,6
Udzungwa Partridge,6,6,5,6,6,6
Ferruginous Partridge,6,6,6,3,6,6
Crested Partridge,6,6,6,5,6,6
Black Partridge,6,6,6,6,6,6
Hill Partridge,6,6,6,1,6,6
Sichuan Partridge,6,6,6,3,6,6
Chestnut-breasted Partridge,6,6,6,3,6,6
White-necklaced Partridge,6,6,6,3,6,6
Rufous-throated Partridge,6,6,6,2,6,6
Red-billed Partridge,6,6,6,3,6,6
Chestnut-headed Partridge,6,6,6,6,6,6
Hainan Partridge,6,6,6,4,6,6
Taiwan Partridge,6,6,6,6,6,6
White-cheeked Partridge,6,6,6,2,6,6
Bar-backed Partridge,6,6,6,2,6,6
Orange-necked Partridge,6,6,6,6,6,6
Red-breasted Partridge,6,6,6,6,6,6
Malayan Partridge,6,6,6,6,6,6
Roll's Partridge,6,6,6,5,6,6
Sumatran Partridge,6,6,6,5,6,6
Chestnut-bellied Partridge,6,6,6,3,6,6
Gray-breasted Partridge,6,6,6,3,6,6
Snow Partridge,6,6,6,3,6,6
Blood Pheasant,6,6,6,2,6,6
Western Tragopan,6,6,6,6,6,6
Satyr Tragopan,6,6,6,3,6,6
Blyth's Tragopan,6,6,6,3,6,6
Temminck's Tragopan,6,6,6,3,6,6
Cabot's Tragopan,6,6,6,3,6,6
Chestnut-throated Monal-Partridge,6,6,6,3,6,6
Buff-throated Monal-Partridge,6,6,6,5,6,6
Himalayan Monal,6,6,6,2,6,6
Sclater's Monal,6,6,6,4,6,6
Chinese Monal,6,6,6,4,6,6
Koklass Pheasant,6,6,6,2,6,6
Wild Turkey,1,4,6,6,6,1
Ocellated Turkey,1,6,6,6,6,6
Ruffed Grouse,1,6,6,6,6,6
Hazel Grouse,6,6,6,3,3,6
Chinese Grouse,6,6,6,3,6,6
Greater Sage-Grouse,1,6,6,6,6,6
Gunnison Sage-Grouse,2,6,6,6,6,6
Dusky Grouse,2,6,6,6,6,6
Sooty Grouse,2,6,6,6,6,6
Sharp-tailed Grouse,2,6,6,6,6,6
Greater Prairie-Chicken,2,6,6,6,6,6
Lesser Prairie-Chicken,2,6,6,6,6,6
White-tailed Ptarmigan,2,6,6,6,6,6
Willow Ptarmigan,2,6,6,6,3,6
Rock Ptarmigan,2,6,6,3,3,6
Siberian Grouse,6,6,6,6,6,6
Spruce Grouse,2,6,6,6,6,6
Western Capercaillie,6,6,6,6,2,6
Black-billed Capercaillie,6,6,6,6,6,6
Black Grouse,6,6,6,5,2,6
Caucasian Grouse,6,6,6,6,6,6
Long-billed Partridge,6,6,6,5,6,6
Dulit Partridge,6,6,6,6,6,6
Tibetan Partridge,6,6,6,3,6,6
Gray Partridge,2,6,6,6,1,6
Daurian Partridge,6,6,6,3,6,6
Copper Pheasant,6,6,6,3,6,6
Reeves's Pheasant,6,6,6,4,5,6
Mikado Pheasant,6,6,6,6,6,6
Elliot's Pheasant,6,6,6,4,6,6
Mrs. Hume's Pheasant,6,6,6,3,6,6
Golden Pheasant,6,6,6,3,6,6
Lady Amherst's Pheasant,6,6,6,3,6,6
Ring-necked Pheasant,1,3,6,1,1,1
Green Pheasant,6,6,6,1,6,6
Cheer Pheasant,6,6,6,2,6,6
Tibetan Eared-Pheasant,6,6,6,4,6,6
White Eared-Pheasant,6,6,6,3,6,6
Brown Eared-Pheasant,6,6,6,5,6,6
Blue Eared-Pheasant,6,6,6,3,6,6
Edwards's Pheasant,6,6,6,6,6,6
Swinhoe's Pheasant,6,6,6,6,6,6
Bulwer's Pheasant,6,6,6,6,6,6
Kalij Pheasant,2,6,6,1,6,6
Silver Pheasant,6,6,6,2,6,6
Malayan Crestless Fireback,6,6,6,6,6,6
Bornean Crestless Fireback,6,6,6,6,6,6
Siamese Fireback,6,6,6,3,6,6
Salvadori's Pheasant,6,6,6,4,6,6
Malayan Crested Fireback,6,6,6,4,6,6
Bornean Crested Fireback,6,6,6,5,6,6
Vietnamese Crested Argus,6,6,6,6,6,6
Malayan Crested Argus,6,6,6,6,6,6
Great Argus,6,6,6,2,6,6
Congo Peacock,6,6,6,6,6,6
Indian Peafowl,2,3,3,1,2,1
Green Peafowl,6,6,6,2,6,6
Scaly-breasted Partridge,6,6,6,2,6,6
Chestnut-necklaced Partridge,6,6,6,6,6,6
Sabah Partridge,6,6,6,6,6,6
Crimson-headed Partridge,6,6,6,6,6,6
Red Spurfowl,6,6,6,1,6,6
Painted Spurfowl,6,6,6,1,6,6
Sri Lanka Spurfowl,6,6,6,6,6,6
Palawan Peacock-Pheasant,6,6,6,6,6,6
Bornean Peacock-Pheasant,6,6,6,6,6,6
Malayan Peacock-Pheasant,6,6,6,6,6,6
Germain's Peacock-Pheasant,6,6,6,6,6,6
Hainan Peacock-Pheasant,6,6,6,6,6,6
Gray Peacock-Pheasant,6,6,6,2,6,6
Mountain Peacock-Pheasant,6,6,6,6,6,6
Bronze-tailed Peacock-Pheasant,6,6,6,3,6,6
Mountain Bamboo-Partridge,6,6,6,2,6,6
Chinese Bamboo-Partridge,6,6,6,1,6,6
Taiwan Bamboo-Partridge,6,6,6,6,6,6
Green Junglefowl,6,6,6,1,6,6
Red Junglefowl,2,2,5,1,6,2
Gray Junglefowl,6,6,6,1,6,6
Sri Lanka Junglefowl,6,6,6,6,6,6
Latham's Francolin,6,6,6,6,6,6
Crested Francolin,6,6,1,6,6,6
Gray Francolin,2,6,6,1,6,6
Swamp Francolin,6,6,6,2,6,6
Chinese Francolin,6,6,6,3,6,6
Black Francolin,2,6,6,1,6,6
Painted Francolin,6,6,6,1,6,6
Coqui Francolin,6,6,1,6,6,6
White-throated Francolin,6,6,6,6,6,6
Schlegel's Francolin,6,6,6,6,6,6
Ring-necked Francolin,6,6,6,6,6,6
Red-winged Francolin,6,6,2,6,6,6
Finsch's Francolin,6,6,6,6,6,6
Moorland Francolin,6,6,6,6,6,6
Elgon Francolin,6,6,5,6,6,6
Gray-winged Francolin,6,6,2,6,6,6
Orange River Francolin,6,6,3,6,6,6
Shelley's Francolin,6,6,2,6,6,6
Whyte's Francolin,6,6,6,6,6,6
Tibetan Snowcock,6,6,6,3,6,6
Altai Snowcock,6,6,6,6,6,6
Caucasian Snowcock,6,6,6,6,6,6
Caspian Snowcock,6,6,6,6,6,6
Himalayan Snowcock,2,6,6,3,6,6
See-see Partridge,6,6,6,6,6,6
Sand Partridge,6,6,5,6,6,6
Brown Quail,6,6,6,5,6,1
Snow Mountain Quail,6,6,6,6,6,6
Blue-breasted Quail,6,6,6,3,6,3
Blue Quail,6,6,6,6,6,6
Madagascar Partridge,6,6,6,6,6,6
Common Quail,6,6,2,3,1,6
Japanese Quail,6,6,6,2,6,6
Harlequin Quail,6,6,2,6,6,6
Rain Quail,6,6,6,2,6,6
Stubble Quail,6,6,6,6,6,2
New Zealand Quail,6,6,6,6,6,6
Barbary Partridge,6,6,6,6,1,6
Arabian Partridge,6,6,6,6,6,6
Red-legged Partridge,6,6,6,6,1,6
Chukar,2,6,4,1,6,4
Rock Partridge,6,6,6,6,3,6
Philby's Partridge,6,6,6,6,6,6
Przevalski's Partridge,6,6,6,3,6,6
Jungle Bush-Quail,6,6,6,1,6,6
Rock Bush-Quail,6,6,6,2,6,6
Painted Bush-Quail,6,6,6,2,6,6
Manipur Bush-Quail,6,6,6,6,6,6
Himalayan Quail,6,6,6,6,6,6
Hartlaub's Spurfowl,6,6,6,6,6,6
Mount Cameroon Spurfowl,6,6,6,6,6,6
Handsome Spurfowl,6,6,6,6,6,6
Chestnut-naped Spurfowl,6,6,6,6,6,6
Erckel's Spurfowl,6,6,6,6,6,6
Djibouti Spurfowl,6,6,6,6,6,6
Swierstra's Spurfowl,6,6,6,6,6,6
Ahanta Spurfowl,6,6,6,6,6,6
Gray-striped Spurfowl,6,6,6,6,6,6
Jackson's Spurfowl,6,6,3,6,6,6
Red-billed Spurfowl,6,6,4,6,6,6
Cape Spurfowl,6,6,1,6,6,6
Natal Spurfowl,6,6,1,6,6,6
Hildebrandt's Spurfowl,6,6,2,6,6,6
Double-spurred Spurfowl,6,6,3,6,6,6
Scaly Spurfowl,6,6,2,6,6,6
Heuglin's Spurfowl,6,6,6,6,6,6
Clapperton's Spurfowl,6,6,6,6,6,6
Harwood's Spurfowl,6,6,6,6,6,6
Swainson's Spurfowl,6,6,1,6,6,6
Yellow-necked Spurfowl,6,6,1,6,6,6
Gray-breasted Spurfowl,6,6,2,6,6,6
Red-necked Spurfowl,6,6,1,6,6,6
Rock Pigeon,1,1,1,1,1,1
Hill Pigeon,6,6,6,1,6,6
Snow Pigeon,6,6,6,2,6,6
Speckled Pigeon,6,6,1,6,6,6
White-collared Pigeon,6,6,6,6,6,6
Stock Dove,6,6,6,5,1,6
Yellow-eyed Pigeon,6,6,6,3,6,6
Somali Pigeon,6,6,6,6,6,6
Common Wood-Pigeon,6,6,6,3,1,6
Trocaz Pigeon,6,6,6,6,6,6
Bolle's Pigeon,6,6,6,6,2,6
Afep Pigeon,6,6,5,6,6,6
Laurel Pigeon,6,6,6,6,2,6
Rameron Pigeon,6,6,1,6,6,6
Cameroon Pigeon,6,6,6,6,6,6
Maroon Pigeon,6,6,6,6,6,6
Eastern Bronze-naped Pigeon,6,6,3,6,6,6
Western Bronze-naped Pigeon,6,6,6,6,6,6
Sao Tome Pigeon,6,6,6,6,6,6
Mauritius Wood-Pigeon,6,6,6,6,6,6
Comoro Pigeon,6,6,6,6,6,6
