Species,Code,North America,,,,,,,
Louisiana Waterthrush,LOWA,1,,,,,,,
Lucy's Warbler,LUWA,1,,,,,,,
MacGillivray's Warbler,MGWA,1,,,,,,,
Magnificent Frigatebird,MAFR,1,,,,,,,
Magnolia Warbler,MAWA,1,,,,,,,
Mallard,MALL,1,,,,,,,
Marbled Godwit,MAGO,1,,,,,,,
Marbled Murrelet,MAMU,1,,,,,,,
Marsh Wren,MAWR,1,,,,,,,
Merlin,MERL,1,,,,,,,
Mississippi Kite,MIKI,1,,,,,,,
Mottled Duck,MODU,1,,,,,,,
Mountain Bluebird,MOBL,1,,,,,,,
Mountain Chickadee,MOCH,1,,,,,,,
Mountain Quail,MOUQ,1,,,,,,,
Mourning Dove,MODO,1,,,,,,,
Mourning Warbler,MOWA,1,,,,,,,
Mute Swan,MUSW,1,,,,,,,
Nashville Warbler,NAWA,1,,,,,,,
Nelson's Sparrow,NESP,1,,,,,,,
Neotropic Cormorant,NECO,1,,,,,,,
Northern Bobwhite,NOBO,1,,,,,,,
Northern Cardinal,NOCA,1,,,,,,,
Northern Flicker,NOFL,1,,,,,,,
Northern Fulmar,NOFU,1,,,,,,,
Northern Gannet,NOGA,1,,,,,,,
Northern Harrier,NOHA,1,,,,,,,
Northern Mockingbird,NOMO,1,,,,,,,
Northern Parula,NOPA,1,,,,,,,
Northern Pintail,NOPI,1,,,,,,,
Northern Rough-winged Swallow,NRWS,1,,,,,,,
Northern Shoveler,NSHO,1,,,,,,,
Northern Shrike,NSHR,1,,,,,,,
Northern Waterthrush,NOWA,1,,,,,,,
Nuttall's Woodpecker,NUWO,1,,,,,,,
Oak Titmouse,OATI,1,,,,,,,
Olive-sided Flycatcher,OSFL,1,,,,,,,
Orange-crowned Warbler,OCWA,1,,,,,,,
Orchard Oriole,OROR,1,,,,,,,
Osprey,OSPR,1,,,,,,,
Ovenbird,OVEN,1,,,,,,,
Pacific Loon,PALO,1,,,,,,,
Pacific Wren,PAWR,1,,,,,,,
Painted Bunting,PABU,1,,,,,,,
Palm Warbler,PAWA,1,,,,,,,
Parasitic Jaeger,PAJA,1,,,,,,,
Pectoral Sandpiper,PESA,1,,,,,,,
Pelagic Cormorant,PECO,1,,,,,,,
Peregrine Falcon,PEFA,1,,,,,,,
Phainopepla,PHAI,1,,,,,,,
Philadelphia Vireo,PHVI,1,,,,,,,
Pied-billed Grebe,PBGR,1,,,,,,,
Pigeon Guillemot,PIGU,1,,,,,,,
Pileated Woodpecker,PIWO,1,,,,,,,
Pine Grosbeak,PIGR,1,,,,,,,
Pine Siskin,PISI,1,,,,,,,
Pine Warbler,PIWA,1,,,,,,,
Pink-footed Shearwater,PFSH,1,,,,,,,
Pinyon Jay,PIJA,1,,,,,,,
Plumbeous Vireo,PLVI,1,,,,,,,
Pomarine Jaeger,POJA,1,,,,,,,
Prairie Falcon,PRFA,1,,,,,,,
Prairie Warbler,PRAW,1,,,,,,,
Prothonotary Warbler,PROW,1,,,,,,,
Purple Finch,PUFI,1,,,,,,,
Purple Gallinule,PUGA,1,,,,,,,
Purple Martin,PUMA,1,,,,,,,
Purple Sandpiper,PUSA,1,,,,,,,
Pygmy Nuthatch,PYNU,1,,,,,,,
Pyrrhuloxia,PYRR,1,,,,,,,
Razorbill,RAZO,1,,,,,,,
Red Crossbill,RECR,1,,,,,,,
Red Knot,REKN,1,,,,,,,
Red Phalarope,REPH,1,,,,,,,
Red-bellied Woodpecker,RBWO,1,,,,,,,
Red-breasted Merganser,RBME,1,,,,,,,
Red-breasted Nuthatch,RBNU,1,,,,,,,
Red-breasted Sapsucker,RBSA,1,,,,,,,
Red-eyed Vireo,REVI,1,,,,,,,
Red-headed Woodpecker,RHWO,1,,,,,,,
Red-naped Sapsucker,RNSA,1,,,,,,,
Red-necked Grebe,RNGR,1,,,,,,,
Red-necked Phalarope,RNPH,1,,,,,,,
Red-shouldered Hawk,RSHA,1,,,,,,,
Red-tailed Hawk,RTHA,1,,,,,,,
Red-throated Loon,RTLO,1,,,,,,,
Red-winged Blackbird,RWBL,1,,,,,,,
Reddish Egret,REEG,1,,,,,,,
Redhead,REDH,1,,,,,,,
Rhinoceros Auklet,RHAU,1,,,,,,,
Ring-billed Gull,RBGU,1,,,,,,,
Ring-necked Duck,RNDU,1,,,,,,,
Ring-necked Pheasant,RNEP,1,,,,,,,
Rock Pigeon,ROPI,1,,,,,,,
Rock Wren,ROWR,1,,,,,,,
Rose-breasted Grosbeak,RBGR,1,,,,,,,
Roseate Spoonbill,ROSP,1,,,,,,,
Ross's Goose,ROGO,1,,,,,,,
Rough-legged Hawk,RLHA,1,,,,,,,
Royal Tern,ROYT,1,,,,,,,
Ruby-crowned Kinglet,RCKI,1,,,,,,,
Ruby-throated Hummingbird,RTHU,1,,,,,,,
Ruddy Duck,RUDU,1,,,,,,,
Ruddy Turnstone,RUTU,1,,,,,,,
Ruffed Grouse,RUGR,1,,,,,,,
Rufous Hummingbird,RUHU,1,,,,,,,
Rufous-crowned Sparrow,RCSP,1,,,,,,,
